#  
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-03-27T05:34:20 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ56f756f90325 
#INFO -out.max=1000 
#INFO queryParameters=30 
#-oc.form=dec
#-out.max=1000
#-order=I
#-nav=cat:J/A+A/559/A43&tab:{J/A+A/559/A43/table6}&key:source=J/A+A/559/A43&HTTPPRM:&&-ref=VIZ56f756f90325&-out.max=1000&-out.form=ascii table&-order=I&-oc.form=dec&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out.src=J/A+A/559/A43/table6&-out=Seq&-out=RAJ2000&-out=DEJ2000&-out=pmRA&-out=pmDE&-out=plx&-out=rc&-out=RV&-out=Vpar&-out=Vperp&-out=M&-out=Jmag&-out=Hmag&-out=Kmag&-out=W1mag&-out=W2mag&-out=Src&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-order=I
#-order=I
#-out.src=J/A+A/559/A43/table6
#-source=J/A+A/559/A43/table6
#-order=I
#-out=Seq
#-out=RAJ2000
#-out=DEJ2000
#-out=pmRA
#-out=pmDE
#-out=plx
#-out=rc
#-out=RV
#-out=Vpar
#-out=Vperp
#-out=M
#-out=Jmag
#-out=Hmag
#-out=Kmag
#-out=W1mag
#-out=W2mag
#-out=Src
#
#
#RESOURCE=yCat_35590043
#Name: J/A+A/559/A43
#Title: Pan-STARRS1 (PS1) observations of the Hyades (Goldman+, 2013)
#Coosys J2000_2000.000: eq_FK5 J2000    
#Table J_A_A_559_A43_table6:
#Name: J/A+A/559/A43/table6
#Title: Photometric and kinematic parameters for 773 Hyades member candidates
#---Details of Columns:
#    Seq           (I8)    Identifier (Seq<=724 ix from Roeser et al. 2011, J/A+A/531/A92) [ucd=meta.id]
#    RAJ2000 (deg) (F11.7) PPMXL Right Ascension (J2000.0, epoch 2000.0) [ucd=pos.eq.ra;meta.main]
#    DEJ2000 (deg) (F11.7) PPMXL Declination (J2000.0, epoch 2000.0) [ucd=pos.eq.dec;meta.main]
#    pmRA (mas/yr) (F6.2)  PPMXL Proper Motion in RA*cos(DEdeg) [ucd=pos.pm;pos.eq.ra]
#    pmDE (mas/yr) (F7.2)  PPMXL Proper Motion in Dec [ucd=pos.pm;pos.eq.dec]
#    plx (mas)     (F5.2)  Secular parallax [ucd=pos.parallax]
#    rc (pc)       (F5.2)  [0/30] Distance from the cluster centre [ucd=phys.size.radius]
#    RV (km/s)     (F5.2)  [16/46] Predicted radial velocity [ucd=phys.veloc;pos.heliocentric]
#    Vpar (km/s)   (F5.2)  [5/43] Tangential velocity in direction of the convergent point [ucd=phys.veloc.transverse]
#    Vperp (km/s)  (F5.2)  [-5/4] Tangential velocity in direction perpendicular to the convergent point [ucd=phys.veloc.transverse]
#    M (Msun)      (F5.2)  [0.09/2.6] Mass of the star [ucd=phys.mass]
#    Jmag (mag)    (F6.3)  2MASS J band magnitude (as in PPMXL) [ucd=phot.mag;em.IR.J]
#    Hmag (mag)    (F6.3)  2MASS H band magnitude (as in PPMXL) [ucd=phot.mag;em.IR.H]
#    Kmag (mag)    (F6.3)  2MASS Ks band magnitude (as in PPMXL) [ucd=phot.mag;em.IR.K]
#    W1mag (mag)   (F6.3)  ? WISE W1-band magnitude (3.3um) [ucd=phot.mag;em.IR.3-4um]
#    W2mag (mag)   (F6.3)  ? WISE W2-band magnitude (4.6um) [ucd=phot.mag;em.IR.4-8um]
#    Src           (A1)    [0,1] Origin of source: 1=from this paper, 0=from Roeser et al. 2011 (J/A+A/531/A92) [ucd=meta.ref;pos.frame]
#-------- ----------- ----------- ------ ------- ----- ----- ----- ----- ----- ----- ------ ------ ------ ------ ------ -
#                                 p                                V     Vp                                             S
#         RA          DE          mRA (m pmDE (  plx   rc    RV (  par ( erp ( M (   Jmag   Hmag   Kmag   W1mag  W2mag  r
#Seq      J2000 (deg) J2000 (deg) as/yr) mas/yr) (mas) (pc)  km/s) km/s) km/s) Msun) (mag)  (mag)  (mag)  (mag)  (mag)  c
#-------- ----------- ----------- ------ ------- ----- ----- ----- ----- ----- ----- ------ ------ ------ ------ ------ -
#    Seq RAJ2000    DEJ2000     pmRA      pmDE plx    rc    RV   Vpar  Vperp Mass  Jmag    Hmag   Kmag  W1mag   W2mag  src
      34 046.3362661 +25.7510914 139.94  -45.73 19.24 19.02 27.55 36.07 -3.84  0.39 10.835 10.247 10.018  9.820  9.677 0
      35 046.4767475 +27.1423956 181.09  -25.25 23.87 17.21 27.44 36.16  3.29  0.16 12.202 11.648 11.311 11.130 10.934 0
      36 046.5625808 +12.0985158 226.42   -3.30 30.51 19.35 28.68 35.18  0.31  0.19 11.288 10.683 10.425 10.216 10.037 0
      37 046.6092119 +17.2247972 205.94  -25.65 27.85 17.37 28.52 35.31 -0.98  0.25 10.925 10.355 10.066  9.895  9.729 0
      38 046.8180864 +10.4439617 133.71    1.79 18.09 20.25 28.85 35.04  0.49  0.20 12.329 11.809 11.481 11.273 11.058 0
      39 047.6808597 +13.6432178 155.87   -8.20 21.35 15.38 29.31 34.66 -0.07  0.51  9.973  9.331  9.087  8.965  8.904 0
      40 048.2616369 +32.8964494 183.67  -61.37 25.36 18.71 27.39 36.20  0.04  1.03  6.827  6.557  6.459  6.465  6.487 0
      41 048.4808581 +32.0973222 142.90  -47.88 19.85 19.54 27.66 35.99 -0.25  0.29 11.389 10.804 10.535 10.372 10.217 0
      43 048.9077125 +37.4039828 204.72  -94.20 29.08 21.67 26.70 36.70 -1.61  0.51  9.317  8.635  8.410  8.271  8.165 0
      44 049.3452692 +26.3150642 188.81  -42.58 26.33 16.22 29.10 34.83  0.95  0.75  8.390  7.894  7.417  7.171  7.214 0
      45 049.3599511 +07.6558108 169.86   -6.31 23.80 15.59 30.33 33.77 -2.44  1.21  6.291  6.052  5.992  5.933  5.884 0
      46 049.3865889 +07.6901544 171.13   -6.53 23.99 15.60 30.34 33.76 -2.45  1.13  6.639  6.400  6.361  6.295  6.300 0
      47 049.5629164 +09.2451497 123.52   15.81 17.42 20.03 30.47 33.64  3.98  0.68  9.369  8.723  8.555  8.473  8.557 0
      48 049.5739944 +31.5532603 138.97  -49.86 19.72 18.81 28.31 35.48 -0.75  0.16 12.597 12.010 11.695 11.469 11.278 0
      49 049.6250261 +44.5369494 157.89  -81.69 22.27 24.78 25.08 37.83 -0.02  0.61  9.297  8.630  8.428  8.296  8.324 0
      50 049.6596806 +32.6657942 209.17  -99.02 30.63 20.40 28.13 35.62 -3.68  0.67  8.227  7.573  7.399  7.272  7.253 0
      51 050.0418536 +31.0854553 114.14  -48.33 16.64 23.78 28.64 35.21 -2.73  1.01  7.835  7.496  7.393  7.341  7.412 0
      52 050.1216461 +08.4544453 226.29    3.25 32.16 19.52 30.78 33.36 -0.21  0.78  7.545  6.955  6.881  6.799  6.884 0
      53 050.6172494 +27.1560542 220.90  -63.98 31.71 19.23 29.63 34.38 -0.23  0.65  8.249  7.590  7.415  7.337  7.363 0
      54 050.6319853 +28.9747447 147.94  -51.19 21.41 15.74 29.33 34.64 -1.09  0.36 10.823 10.195  9.939  9.754  9.624 0
      55 050.9526756 +39.5922531 170.17  -78.14 24.36 20.93 27.07 36.43  0.48  0.14 12.552 11.944 11.599 11.388 11.211 0
      56 051.1507364 +21.8384814 127.05  -42.05 18.82 15.32 30.66 33.47 -4.00  0.33 11.290 10.661 10.398 10.227 10.039 0
      57 051.2628847 -03.1389858 185.58   32.00 26.66 20.27 30.67 33.46 -1.24  0.41 10.060  9.452  9.197  9.063  8.945 0
      58 051.2966469 +13.0093056 193.25  -16.09 28.04 15.41 31.40 32.78 -0.81  0.17 11.844 11.247 10.884 10.681 10.478 0
      59 051.6764856 +43.2064083 136.34  -81.14 20.33 24.52 26.34 36.97 -1.51  0.15 12.612 11.995 11.762 11.605 11.440 0
      60 052.5433742 +26.8164794 151.30  -34.50 21.93 13.50 30.67 33.46  2.31  0.16 12.360 11.717 11.433 11.195 11.103 0
      61 053.1663225 +35.6592936 132.52  -58.34 19.70 19.55 29.10 34.84  0.47  1.32  6.354  6.147  6.109  6.083  6.033 0
      62 053.2086589 +23.6921828 161.11  -41.13 24.11 12.28 31.49 32.69  0.04  0.94  7.374  7.018  6.907  6.851  6.935 0
      63 053.2720939 +04.9581156 118.22   21.49 17.86 18.59 32.46 31.72  3.30  0.69  9.343  8.696  8.490  8.337  8.383 0
      64 053.5439869 +22.0725772 192.58  -45.89 29.04 15.31 31.87 32.31 -0.19  0.19 11.355 10.774 10.475 10.285 10.100 0
      65 053.9290869 +11.5561600 178.28  -15.09 27.08 13.67 32.88 31.29 -1.24  0.49  9.559  8.960  8.699  8.521  8.419 0
      66 054.3889492 +17.8540419 169.30  -24.65 25.81 11.77 32.76 31.41  0.56  0.59  9.100  8.474  8.231  7.999  7.807 0
      67 054.3912686 +17.8501342 175.49  -32.22 26.92 12.73 32.76 31.41 -0.60  0.56  9.186  8.564  8.300  8.155  8.041 0
      68 054.3957325 +21.3431772 144.51  -26.02 21.87 10.34 32.40 31.79  1.46  0.94  7.645  7.274  7.121  7.071  7.082 0
      69 054.5297889 +06.5738436 180.75    8.57 27.72 15.28 33.20 30.95  0.05  0.16 11.893 11.322 10.996 10.794 10.612 0
      70 054.7797342 +20.4240828 181.65  -42.86 28.10 13.81 32.70 31.48 -0.62  0.30 10.567  9.970  9.713  9.541  9.384 0
      71 054.7829819 +28.3822536 122.11  -44.70 18.85 15.57 31.47 32.71 -0.17  0.77  8.742  8.152  8.055  7.955  8.048 0
      72 055.0314953 +05.8745900 113.76    3.12 17.57 17.80 33.45 30.68 -0.95  0.96  8.138  7.672  7.525  7.437  7.447 0
      73 055.4037608 +23.3436956 153.48  -47.75 24.14 10.95 32.63 31.55 -1.01  0.45 10.038  9.418  9.162  9.017  8.915 0
      74 055.4812019 +18.7599514 156.66  -42.39 24.81 10.40 33.23 30.91 -2.35  0.49  9.710  9.107  8.868  8.699  8.624 0
      75 055.5184767 +16.4217542 154.40  -22.35 24.11  9.78 33.46 30.67  0.04  0.21 11.609 11.022 10.742 10.570 10.375 0
      76 055.7219353 +23.4471122 175.49  -59.67 27.94 13.83 32.77 31.41 -1.65  0.37 10.202  9.545  9.316  9.158  8.979 0
      77 055.8979575 +26.3586544 172.22  -60.60 27.20 13.99 32.37 31.81 -0.35  0.28 10.772 10.155  9.903  9.722  9.553 0
      78 055.9461603 +20.8600844 136.60  -40.81 21.82  9.12 33.23 30.92 -1.83  0.41 10.484  9.831  9.612  9.446  9.325 0
      79 056.5834417 +06.7399603 113.05   14.95 18.10 15.46 34.28 29.75  2.73  0.42 10.802 10.228  9.982  9.704  9.555 0
      80 056.7481375 +15.4046881 219.85  -25.47 35.09 18.93 34.15 29.89  0.57  0.22 10.733 10.159  9.851  9.683  9.510 0
      81 057.0494250 +07.1462406 173.27    5.22 27.89 14.31 34.53 29.46 -0.03  0.69  8.273  7.624  7.509  7.429  7.499 0
      82 057.4302914 +24.3179653 159.42  -56.70 26.12 11.83 33.44 30.69 -0.94  0.46  9.805  9.225  8.944  8.788  8.641 0
      83 057.6040353 +17.2465067 129.76  -23.07 21.12  7.50 34.43 29.58  0.06  0.92  7.776  7.401  7.249  7.124  7.183 0
      84 057.6164797 +04.1125922 138.76   -0.39 22.40 12.51 34.72 29.23 -2.82  0.24 11.456 10.901 10.627 10.498 10.345 0
      85 057.7629675 +23.9036500 148.02  -48.50 24.25 10.02 33.66 30.45 -0.27  0.80  8.106  7.540  7.395  7.370  7.440 0
      86 058.1708811 +25.8044433 134.59  -48.61 22.17  9.88 33.52 30.60  0.03  0.72  8.704  8.042  7.893  7.830  7.883 0
      87 058.1779250 +25.2072983 131.12  -43.69 21.49  9.62 33.63 30.48  0.46  0.13 12.960 12.412 12.056 11.845 11.652 0
      88 058.2918594 +17.3270836 143.75  -29.76 23.83  7.83 34.75 29.20 -0.54  1.56  5.254  5.161  5.091  5.102  4.825 0
      89 058.3025233 +27.0826789  83.07  -41.11 14.21 27.38 33.34 30.80 -2.70  0.94  8.489  8.069  8.041  7.960  8.025 0
      90 058.4030444 +31.2067183 145.08  -70.70 24.14 13.51 32.49 31.69 -0.32  0.38 10.456  9.838  9.582  9.403  9.229 0
      91 058.4437367 +13.3920036 147.62  -14.82 24.45  8.72 35.11 28.76  0.13  0.21 11.559 10.984 10.677 10.506 10.328 0
      92 058.4710681 +34.3596556  82.60  -54.41 14.39 29.97 31.72 32.46 -2.89  0.42 11.313 10.721 10.482 10.283 10.141 0
      93 058.7217414 +16.3156400 134.41  -19.18 22.31  6.57 35.05 28.84  0.77  0.50  9.960  9.367  9.056  8.934  8.776 0
      94 058.7559958 +12.4855828 127.37  -11.74 21.26  7.45 35.31 28.52 -0.13  0.83  8.181  7.692  7.574  7.516  7.593 0
      95 058.7770914 +16.9984769 148.39  -24.87 24.69  8.38 35.01 28.88  0.49  0.92  7.413  7.038  6.910  6.859  6.922 0
      96 058.8274883 +30.8950531 135.30  -70.42 22.99 12.86 32.75 31.43 -1.10  0.17 12.105 11.526 11.236 11.036 10.841 0
      97 058.9033767 +35.9817011  99.41  -69.31 17.49 21.36 31.45 32.73 -2.76  0.48 10.581  9.931  9.711  9.563  9.465 0
      98 058.9038983 +21.3133744 206.72  -63.24 34.84 18.53 34.58 29.41 -0.73  0.12 12.063 11.414 11.096 10.885 10.674 0
      99 058.9881994 +18.4322903 130.12  -30.93 21.91  6.40 34.97 28.94 -0.54  0.45 10.230  9.629  9.388  9.223  9.119 0
     100 059.1379275 +31.9568956 121.60  -68.75 20.96 13.86 32.62 31.56 -1.50  0.54  9.795  9.188  8.944  8.808  8.675 0
     101 059.1940386 +36.4115208 125.97  -85.39 22.00 16.68 31.44 32.74 -1.96  0.33 10.981 10.384 10.102  9.922  9.740 0
     102 059.3701689 +47.3404272 115.82  -75.65 18.18 28.58 27.76 35.91  3.47  0.19 12.308 11.763 11.485 11.277 11.103 0
     103 059.5589919 +21.0511750 131.89  -29.42 22.05  6.74 34.91 29.01  1.59  0.17 12.245 11.668 11.333 11.103 10.927 0
     104 059.5598797 +12.6280128 133.21  -16.64 22.68  6.97 35.69 28.05 -0.82  0.20 11.845 11.256 10.987 10.797 10.585 0
     105 059.6420444 +37.8389075 118.40  -90.20 21.31 17.90 31.19 32.98 -2.88  0.39 10.623 10.021  9.778  9.634  9.517 0
     106 059.6492453 +13.1050278  79.30   -6.67 13.46 29.15 35.71 28.02  0.62  1.14  7.726  7.447  7.375  7.348  7.373 0
     107 059.7272192 +25.2198081 115.98  -44.75 19.84 10.08 34.32 29.70 -0.30  0.47 10.357  9.755  9.499  9.350  9.267 0
     108 059.7905650 +26.4760981 131.40  -65.94 23.20  9.81 34.11 29.94 -2.48  0.70  8.717  8.065  7.885  7.762  7.769 0
     109 059.8091094 +22.0438489 149.07  -45.03 25.42  9.53 34.88 29.04  0.11  0.51  9.538  8.914  8.704  8.556  8.514 0
     110 059.8123931 +06.2278961 107.14   11.49 18.34 13.79 35.88 27.80  1.65  0.30 11.554 10.981 10.684 10.521 10.377 0
     111 059.8125592 +16.6644358 139.72  -27.47 23.90  6.99 35.53 28.25 -0.26  0.25 11.269 10.661 10.382 10.204 10.022 0
     112 059.8527675 +32.3205044 126.86  -73.74 22.17 13.51 32.82 31.35 -1.32  0.51  9.876  9.246  9.000  8.805  8.722 0
     113 059.8608661 +23.3854536 134.00  -42.67 22.78  7.87 34.70 29.26  0.48  0.23 11.518 10.913 10.651 10.487 10.291 0
     114 059.9187431 +10.3303947 140.62   -6.48 24.07  8.68 35.94 27.73 -0.02  1.44  5.565  5.391  5.323  5.322  5.155 0
     115 059.9659622 +22.6037389 108.43  -34.48 18.56 10.84 34.87 29.06  0.07  0.38 11.021 10.386 10.151  9.990  9.892 0
     116 060.0649283 +19.4101569 121.12  -36.16 21.03  6.04 35.35 28.47 -1.25  0.25 11.579 10.970 10.697 10.551 10.378 0
     117 060.1872822 +13.9063344 128.28  -14.41 22.04  5.87 35.91 27.76  0.43  0.45 10.260  9.615  9.344  9.176  9.012 0
     118 060.2031886 +18.1939986 129.18  -28.78 22.24  5.54 35.56 28.21  0.07  1.64  5.236  5.077  5.047  5.050  4.789 0
     119 060.2478756 +14.3459356 130.94  -17.56 22.56  5.90 35.91 27.76  0.12  0.36 10.693 10.083  9.826  9.678  9.506 0
     120 060.2812533 +33.1961094 126.16  -72.60 21.97 14.07 32.77 31.41 -0.51  0.84  8.039  7.555  7.446  7.402  7.470 0
     122 060.6155169 -07.1579603 140.22   45.32 24.15 19.39 34.98 28.92 -0.79  0.19 11.846 11.237 10.927 10.733 10.563 0
     123 060.7212931 +18.4072922 132.21  -36.54 23.25  5.94 35.77 27.94 -1.06  0.34 10.770 10.178  9.913  9.745  9.559 0
     124 060.8908653 +40.3620172 114.06  -88.81 20.56 20.08 30.84 33.31 -1.36  0.34 10.987 10.390 10.128  9.963  9.823 0
     125 060.9126600 +19.4550078 119.00  -35.44 21.02  5.46 35.73 27.99 -0.93  0.83  8.206  7.709  7.600  7.457  7.528 0
     126 061.0295581 +39.5097158 141.80  -98.20 24.78 18.53 31.17 32.99  0.21  1.24  5.817  5.475  5.397  5.264  5.084 0
     127 061.0448414 +15.8060781 135.37  -26.10 23.83  6.29 36.17 27.42 -0.37  0.13 12.779 12.203 11.859 11.635 11.436 0
     128 061.0533683 +18.9957119 113.25  -30.53 19.97  6.41 35.85 27.84 -0.43  0.22 11.918 11.338 11.063 10.874 10.698 0
     129 061.1126500 +20.4084575 122.92  -37.37 21.72  5.47 35.69 28.04 -0.45  0.29 11.210 10.594 10.325 10.126  9.944 0
     130 061.2412242 +39.6021306 104.62  -87.70 19.58 20.33 31.22 32.95 -2.66  0.16 12.616 12.004 11.719 11.530 11.329 0
     131 061.2825031 +29.2854811 129.03  -65.29 22.92 11.03 34.14 29.90 -0.36  0.19 11.863 11.324 11.036 10.878 10.700 0
     132 061.3076492 +37.7114636  89.47  -55.97 15.46 27.52 31.85 32.33  1.07  0.23 12.416 11.759 11.514 11.377 11.262 0
     133 061.3569622 +19.4421619 122.62  -28.44 21.50  4.95 35.93 27.74  0.92  0.68  8.889  8.259  8.107  8.023  8.088 0
     134 061.4153064 +17.9377097 126.05  -28.09 22.28  4.66 36.13 27.47  0.25  0.89  7.748  7.365  7.254  7.209  7.256 0
