#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-03-24T00:15:02 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ56f32fff0810	
#INFO	-out.max=9999	
#INFO	queryParameters=49	
#-oc.form=dec
#-out.max=9999
#-nav=cat:J/A+A/559/A43&tab:{J/A+A/559/A43/table6}&key:source=J/A+A/559/A43&HTTPPRM:&&-ref=VIZ56f32fff0810&-file=.&-oc.form=sexa&-out.form=verb&-c.r=  2&-c.geom=r&-order=I&-out=Seq&-out=RAJ2000&-out=DEJ2000&-out=pmRA&-out=pmDE&-out=plx&-out=rc&-out=RV&-out=Vpar&-out=Vperp&-out=M&-out=gmed&-out=rmed&-out=imed&-out=zmed&-out=ymed&-out=Jmag&-out=Kmag&-out=W1mag&-out=W2mag&-out=Src&-out=XV&-ignore=XV=*&XV=XV&-out=Sloan&Sloan=Sloan&-meta.ucd=2&-meta=1&-meta.foot=1&-meta.form=1&-usenav=1&-bmark=POST&-out.max=50&-out.form=HTML Table&-c.eq=J2000&-c.u=arcmin&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/559/A43/table6
#-order=I
#-out=Seq
#-out=RAJ2000
#-out=DEJ2000
#-out=pmRA
#-out=pmDE
#-out=plx
#-out=rc
#-out=RV
#-out=Vpar
#-out=Vperp
#-out=M
#-out=gmed
#-out=rmed
#-out=gmag
#-out=e_gmag
#-out=rmag
#-out=e_rmag
#-out=imag
#-out=e_imag
#-out=zmag
#-out=e_zmag
#-out=Jmag
#-out=e_Jmag
#-out=Hmag
#-out=e_Hmag
#-out=Kmag
#-out=e_Kmag
#-out=W1mag
#-out=e_W1mag
#-out=W2mag
#-out=e_W2mag
#-out=W3mag
#-out=e_W3mag
#-out=W4mag
#-out=e_W4mag
#-out=Src
#-out=XV
#XV=XV
#-out=Sloan
#Sloan=Sloan
#
#
#RESOURCE=yCat_35590043
#Name: J/A+A/559/A43
#Title: Pan-STARRS1 (PS1) observations of the Hyades (Goldman+, 2013)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_559_A43_table6:
#Name: J/A+A/559/A43/table6
#Title: Photometric and kinematic parameters for 773 Hyades member candidates
#Column	Seq	(I8)	Identifier (Seq<=724 ix from Roeser et al. 2011, J/A+A/531/A92)	[ucd=meta.id]
#Column	RAJ2000	(F11.7)	PPMXL Right Ascension (J2000.0, epoch 2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F11.7)	PPMXL Declination (J2000.0, epoch 2000.0)	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F6.2)	PPMXL Proper Motion in RA*cos(DEdeg)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F7.2)	PPMXL Proper Motion in Dec	[ucd=pos.pm;pos.eq.dec]
#Column	plx	(F5.2)	Secular parallax	[ucd=pos.parallax]
#Column	rc	(F5.2)	[0/30] Distance from the cluster centre	[ucd=phys.size.radius]
#Column	RV	(F5.2)	[16/46] Predicted radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	Vpar	(F5.2)	[5/43] Tangential velocity in direction of the convergent point	[ucd=phys.veloc.transverse]
#Column	Vperp	(F5.2)	[-5/4] Tangential velocity in direction perpendicular to the convergent point	[ucd=phys.veloc.transverse]
#Column	M	(F5.2)	[0.09/2.6] Mass of the star	[ucd=phys.mass]
#Column	gmed	(F6.3)	? PS1 PSF median magnitude in g band	[ucd=phot.mag;em.opt.B]
#Column	rmed	(F6.3)	? PS1 PSF median magnitude in r band	[ucd=phot.mag;em.opt.R]
#Column	gmag	(F6.3)	? SDSS g-band magnitude (SDSS-DR8)	[ucd=phot.mag;em.opt.B]
#Column	e_gmag	(F6.3)	? Error of gmag	[ucd=stat.error;phot.mag;em.opt.B]
#Column	rmag	(F6.3)	? SDSS r-band magnitude (SDSS-DR8)	[ucd=phot.mag;em.opt.R]
#Column	e_rmag	(F6.3)	? Error of rmag	[ucd=stat.error;phot.mag;em.opt.R]
#Column	imag	(F6.3)	? SDSS i-band magnitude (SDSS-DR8)	[ucd=phot.mag;em.opt.I]
#Column	e_imag	(F6.3)	? Error of imag	[ucd=stat.error;phot.mag;em.opt.I]
#Column	zmag	(F6.3)	? SDSS z-band magnitude (SDSS-DR8)	[ucd=phot.mag;em.opt.I]
#Column	e_zmag	(F6.3)	? Error of zmag	[ucd=stat.error;phot.mag;em.opt.I]
#Column	Jmag	(F6.3)	2MASS J band magnitude (as in PPMXL)	[ucd=phot.mag;em.IR.J]
#Column	e_Jmag	(F6.3)	Error of Jmag	[ucd=stat.error;phot.mag;em.IR.J]
#Column	Hmag	(F6.3)	2MASS H band magnitude (as in PPMXL)	[ucd=phot.mag;em.IR.H]
#Column	e_Hmag	(F6.3)	Error of Hmag	[ucd=stat.error;phot.mag;em.IR.H]
#Column	Kmag	(F6.3)	2MASS Ks band magnitude (as in PPMXL)	[ucd=phot.mag;em.IR.K]
#Column	e_Kmag	(F6.3)	Error of Kmag	[ucd=stat.error;phot.mag;em.IR.K]
#Column	W1mag	(F6.3)	? WISE W1-band magnitude (3.3um)	[ucd=phot.mag;em.IR.3-4um]
#Column	e_W1mag	(F6.3)	? Error of W1mag	[ucd=stat.error;phot.mag]
#Column	W2mag	(F6.3)	? WISE W2-band magnitude (4.6um)	[ucd=phot.mag;em.IR.4-8um]
#Column	e_W2mag	(F6.3)	? Error of W2mag	[ucd=stat.error;phot.mag]
#Column	W3mag	(F6.3)	? WISE W3-band magnitude (11.6um)	[ucd=phot.flux.density;em.IR.8-15um]
#Column	e_W3mag	(F6.3)	? Error of W3mag	[ucd=stat.error;phot.mag]
#Column	W4mag	(F6.3)	? WISE W4-band magnitude (22.1um)	[ucd=phot.flux.density;em.IR.15-30um]
#Column	e_W4mag	(F6.3)	? Error of W4mag	[ucd=stat.error;phot.mag]
#Column	Src	(A1)	[0,1] Origin of source: 1=from this paper, 0=from Roeser et al. 2011 (J/A+A/531/A92)	[ucd=meta.ref;pos.frame]
#Column	XV	(A2)	Retrieve data on this star across all VizieR (within 5arcsec)	[ucd=meta.ref.url]
#Column	Sloan	(a5)	Display the SDSS data for this source	[ucd=meta.ref.url]
#Seq	RAJ2000	DEJ2000	pmRA	pmDE	plx	rc	RV	Vpar	Vperp	M	gmed	rmed	gmag	e_gmag	rmag	e_rmag	imag	e_imag	zmag	e_zmag	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag	W1mag	e_W1mag	W2mag	e_W2mag	W3mag	e_W3mag	W4mag	e_W4mag	Src	XV	Sloan
# 	deg	deg	mas/yr	mas/yr	mas	pc	km/s	km/s	km/s	Msun	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	 	 	
#--------	-----------	-----------	------	-------	-----	-----	-----	-----	-----	-----	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	-	--	-----
#Seq	RAJ2000	DEJ2000	pmRA	pmDE	plx	rc	RV	Vpar	Vperp	M	gmed	rmed	gmag	e_gmag	rmag	e_rmag	imag	e_imag	zmag	e_zmag	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag	W1mag	e_W1mag	W2mag	e_W2mag	W3mag	e_W3mag	W4mag	e_W4mag	Src	XV	Sloan
     202	064.3547931	+19.0299111	112.54	 -30.47	21.31	 2.91	37.26	25.92	 0.59	 0.74	      	      	      	      	      	      	      	      	      	      	 8.597	 0.021	 7.994	 0.018	 7.909	 0.023	 7.807	 0.023	 7.885	 0.019	 7.857	 0.024	 7.833	 0.199	0	XV	Sloan
     203	064.3672347	+14.9010447	103.22	 -25.07	19.89	 4.78	37.69	25.29	-1.36	 0.44	15.029	13.820	      	      	      	      	      	      	      	      	10.471	 0.022	 9.869	 0.023	 9.621	 0.019	 9.457	 0.023	 9.334	 0.019	 9.181	 0.033	 8.559	      	0	XV	Sloan
     204	064.3799028	+30.6990317	131.69	 -61.96	23.78	11.72	35.01	28.89	 2.76	 0.30	15.862	14.633	      	      	      	      	      	      	      	      	10.920	 0.021	10.345	 0.028	10.071	 0.022	 9.896	 0.024	 9.747	 0.022	 9.693	 0.060	 9.133	      	0	XV	Sloan
     205	064.4122553	+16.9478589	112.53	 -21.36	21.24	 2.25	37.52	25.54	 1.26	 1.07	      	      	      	      	      	      	      	      	      	      	 6.865	 0.020	 6.486	 0.016	 6.397	 0.018	 6.365	 0.037	 6.300	 0.025	 6.375	 0.017	 6.351	 0.054	0	XV	Sloan
     206	064.4154503	+12.4148461	120.39	 -17.78	23.06	 4.93	37.88	25.01	-0.65	 0.34	16.049	14.740	      	      	      	      	      	      	      	      	10.746	 0.021	10.136	 0.023	 9.868	 0.018	 9.681	 0.023	 9.492	 0.019	 9.341	 0.037	 8.588	 0.337	0	XV	Sloan
     207	064.4487214	+13.6617756	106.91	 -19.84	20.53	 4.08	37.82	25.10	-0.76	 0.62	13.361	      	      	      	      	      	      	      	      	      	 9.405	 0.022	 8.720	 0.018	 8.527	 0.019	 8.377	 0.022	 8.372	 0.019	 8.279	 0.021	 8.421	 0.307	0	XV	Sloan
     208	064.4609722	+18.4751875	111.07	 -34.92	21.42	 2.52	37.37	25.76	-0.76	 0.52	14.552	15.001	      	      	      	      	      	      	      	      	 9.841	 0.022	 9.246	 0.022	 8.992	 0.018	 8.830	 0.022	 8.706	 0.020	 8.564	 0.025	 8.789	 0.464	0	XV	Sloan
     209	064.4650981	+15.2271406	100.12	 -26.98	19.41	 5.76	37.71	25.26	-1.76	 0.33	16.195	14.969	      	      	      	      	      	      	      	      	11.224	 0.021	10.638	 0.022	10.365	 0.017	10.189	 0.024	10.051	 0.022	10.076	 0.077	 8.864	      	0	XV	Sloan
     210	064.4815275	+14.5462528	 99.11	 -20.60	19.06	 6.78	37.77	25.17	-0.72	 0.39	15.633	14.403	      	      	      	      	      	      	      	      	10.871	 0.020	10.276	 0.024	10.017	 0.017	 9.876	 0.023	 9.745	 0.022	 9.533	 0.042	 8.520	 0.346	0	XV	Sloan
     211	064.5076614	+18.2568053	115.29	 -31.07	22.03	 2.51	37.41	25.70	 0.18	 1.21	      	      	      	      	      	      	      	      	      	      	 6.279	 0.018	 6.032	 0.016	 5.950	 0.017	 5.871	 0.052	 5.859	 0.024	 5.964	 0.016	 5.973	 0.050	0	XV	Sloan
     212	064.5356439	+13.3312803	111.15	 -16.61	21.30	 3.46	37.88	25.01	-0.07	 0.47	15.830	15.125	      	      	      	      	      	      	      	      	10.288	 0.025	 9.698	 0.024	 9.352	 0.019	 9.180	 0.023	 9.019	 0.020	 8.916	 0.030	 8.190	 0.244	0	XV	Sloan
     213	064.5375242	+17.4162569	109.69	 -31.31	21.17	 2.28	37.52	25.54	-0.72	 0.24	16.807	15.549	16.819	 0.005	15.601	 0.004	13.983	 0.004	13.240	 0.004	11.647	 0.022	11.083	 0.023	10.759	 0.018	10.578	 0.024	10.404	 0.020	10.299	 0.076	 9.075	      	0	XV	Sloan
     214	064.5449528	+23.2846514	 92.02	 -38.77	17.71	11.91	36.68	26.73	-0.28	 1.13	      	      	      	      	      	      	      	      	      	      	 7.585	 0.019	 7.077	 0.029	 6.937	 0.016	 6.813	 0.036	 6.873	 0.021	 6.807	 0.015	 6.688	 0.065	0	XV	Sloan
     215	064.5541353	+16.0981189	103.39	 -25.75	19.94	 4.38	37.67	25.33	-0.69	 0.27	16.890	15.624	      	      	      	      	      	      	      	      	11.583	 0.021	10.970	 0.022	10.704	 0.017	10.552	 0.023	10.373	 0.022	10.174	 0.061	 8.333	      	0	XV	Sloan
     216	064.5803008	+16.0883419	119.68	 -19.22	22.67	 2.97	37.68	25.31	 1.46	 0.86	      	      	      	      	      	      	      	      	      	      	 7.880	 0.023	 7.423	 0.023	 7.322	 0.017	 7.266	 0.029	 7.342	 0.021	 7.319	 0.016	 7.310	 0.104	0	XV	Sloan
     217	064.5916389	+17.4216408	121.18	 -40.70	23.70	 4.56	37.55	25.50	-1.88	 0.88	      	      	      	      	      	      	      	      	      	      	 7.840	 0.021	 7.300	 0.024	 7.162	 0.017	 7.081	 0.033	 7.091	 0.021	 7.031	 0.017	 7.169	 0.106	0	XV	Sloan
     218	064.5966711	+21.5792947	 94.88	 -34.88	18.22	 9.79	36.99	26.30	-0.05	 1.89	      	      	      	      	      	      	      	      	      	      	 5.058	 0.037	 4.936	 0.059	 4.903	 0.020	 4.916	 0.067	 4.632	 0.044	 4.944	 0.014	 4.938	 0.030	0	XV	Sloan
     219	064.6067717	+20.7071222	 69.29	 -30.71	13.71	27.02	37.13	26.11	-2.28	 0.21	17.831	16.532	      	      	      	      	      	      	      	      	12.782	 0.021	12.191	 0.022	11.930	 0.023	11.725	 0.023	11.548	 0.022	11.663	 0.273	 8.585	      	0	XV	Sloan
     220	064.6410175	+18.3647153	114.22	 -41.37	22.40	 2.84	37.46	25.63	-1.88	 0.24	16.678	15.457	      	      	      	      	      	      	      	      	11.490	 0.023	10.922	 0.022	10.601	 0.017	10.436	 0.022	10.268	 0.021	10.223	 0.070	 8.442	      	0	XV	Sloan
     221	064.6760283	+12.5107019	113.32	 -14.71	21.80	 3.90	37.98	24.85	-0.11	 0.31	16.115	14.956	      	      	      	      	      	      	      	      	11.062	 0.020	10.480	 0.022	10.205	 0.019	10.042	 0.024	 9.872	 0.021	 9.830	 0.057	 8.461	      	0	XV	Sloan
     222	064.6810239	+03.2549203	139.26	   8.24	26.57	13.21	37.99	24.84	-1.60	 0.14	      	      	      	      	      	      	      	      	      	      	12.183	 0.027	11.614	 0.024	11.285	 0.023	11.067	 0.023	10.872	 0.021	10.781	 0.096	 8.855	      	0	XV	Sloan
     223	064.6959894	+13.3663147	112.74	 -20.20	21.79	 3.31	37.94	24.91	-0.74	 0.64	12.997	      	      	      	      	      	      	      	      	      	 9.121	 0.020	 8.481	 0.026	 8.300	 0.018	 8.186	 0.023	 8.230	 0.019	 8.156	 0.022	 7.880	 0.179	0	XV	Sloan
     224	064.7324617	+09.3963472	111.90	  -3.60	21.54	 6.20	38.12	24.64	 0.24	 0.25	17.005	15.694	      	      	      	      	      	      	      	      	11.522	 0.021	10.884	 0.030	10.621	 0.019	10.430	 0.023	10.249	 0.021	10.180	 0.082	 8.859	      	0	XV	Sloan
     225	064.7415653	+19.9067017	114.59	 -36.40	22.03	 3.26	37.30	25.87	 0.14	 1.01	      	      	      	      	      	      	      	      	      	      	 7.286	 0.020	 7.000	 0.018	 6.921	 0.016	 6.842	 0.037	 6.915	 0.020	 6.900	 0.017	 6.891	 0.083	0	XV	Sloan
     226	064.7629067	+19.5443092	123.43	 -42.73	24.01	 5.43	37.36	25.78	-0.74	 0.31	15.922	14.812	      	      	      	      	      	      	      	      	10.904	 0.021	10.291	 0.022	10.009	 0.018	 9.876	 0.023	 9.704	 0.020	 9.528	 0.038	 8.600	      	0	XV	Sloan
     227	064.7833678	+17.5247503	113.59	 -29.40	21.89	 2.01	37.61	25.41	 0.05	 1.04	      	      	      	      	      	      	      	      	      	      	 7.134	 0.023	 6.872	 0.020	 6.787	 0.016	 6.729	 0.039	 6.784	 0.020	 6.809	 0.017	 6.780	 0.080	0	XV	Sloan
     228	064.8741064	+21.7538844	103.24	 -40.65	20.08	 5.74	37.07	26.19	-0.44	 0.51	14.573	13.373	      	      	      	      	      	      	      	      	10.106	 0.021	 9.442	 0.020	 9.222	 0.018	 9.077	 0.024	 8.960	 0.019	 8.842	 0.026	 8.666	 0.370	0	XV	Sloan
     229	064.9483494	+15.6276431	115.48	 -23.42	22.33	 2.42	37.87	25.02	 0.22	 2.60	      	      	      	      	      	      	      	      	      	      	 1.963	 0.246	 1.496	 0.210	 1.518	 0.204	 1.200	      	 1.365	 0.315	 1.919	 0.020	 1.459	 0.010	0	XV	Sloan
     230	064.9785717	+16.5225914	119.41	 -35.46	23.46	 4.04	37.80	25.13	-1.42	 1.33	      	      	      	      	      	      	      	      	      	      	 5.820	 0.018	 5.588	 0.021	 5.542	 0.020	 5.474	 0.059	 5.372	 0.028	 5.561	 0.015	 5.543	 0.037	0	XV	Sloan
     231	064.9904314	+14.0352000	114.14	 -20.46	22.17	 2.96	38.02	24.79	-0.24	 1.74	      	      	      	      	      	      	      	      	      	      	 5.002	 0.037	 4.927	 0.047	 4.853	 0.015	 4.853	 0.075	 4.482	 0.043	 4.911	 0.013	 4.852	 0.025	0	XV	Sloan
     232	065.0441067	-14.7610000	176.79	 113.26	34.92	26.55	35.33	28.49	 0.79	 0.74	      	      	      	      	      	      	      	      	      	      	 7.554	 0.029	 6.976	 0.053	 6.832	 0.024	 6.735	 0.036	 6.853	 0.020	 6.780	 0.016	 6.675	 0.072	0	XV	Sloan
     233	065.0540306	+19.2334792	115.67	 -34.43	22.39	 3.03	37.51	25.55	 0.30	 1.22	      	      	      	      	      	      	      	      	      	      	 6.395	 0.018	 6.184	 0.026	 6.124	 0.018	 6.092	 0.050	 6.086	 0.022	 6.152	 0.015	 6.006	 0.047	0	XV	Sloan
     234	065.1046211	+18.7426081	118.89	 -48.37	23.82	 4.85	37.60	25.43	-2.47	 1.52	      	      	      	      	      	      	      	      	      	      	 5.343	 0.018	 5.209	 0.023	 5.160	 0.016	 5.124	 0.071	 4.859	 0.032	 5.154	 0.015	 5.074	 0.030	0	XV	Sloan
     235	065.1151014	+18.8971956	109.16	 -48.59	22.08	 2.54	37.58	25.45	-3.21	 0.31	15.910	14.687	      	      	      	      	      	      	      	      	11.063	 0.021	10.483	 0.022	10.215	 0.018	 9.899	 0.020	 9.825	 0.021	 9.729	 0.050	 8.164	      	0	XV	Sloan
     236	065.1224519	+21.3787019	 96.15	 -38.82	18.93	 7.82	37.23	25.96	-0.79	 0.38	16.160	14.895	      	      	      	      	      	      	      	      	11.018	 0.021	10.410	 0.022	10.127	 0.017	 9.969	 0.023	 9.802	 0.021	 9.614	 0.040	 8.633	 0.358	0	XV	Sloan
     237	065.1512936	+15.0954514	108.59	 -21.47	21.14	 2.24	38.00	24.82	 0.04	 1.91	      	      	      	      	      	      	      	      	      	      	 4.750	 0.048	 4.973	 0.282	 4.689	 0.016	 4.742	 0.076	 4.374	 0.046	 4.753	 0.014	 4.604	 0.025	0	XV	Sloan
     238	065.2196675	+13.8644269	104.26	 -18.07	20.37	 3.94	38.13	24.63	-0.16	 1.61	      	      	      	      	      	      	      	      	      	      	 5.286	 0.027	 5.155	 0.024	 5.062	 0.018	 5.034	 0.077	 4.795	 0.039	 5.093	 0.013	 5.036	 0.031	0	XV	Sloan
     239	065.2526483	+24.5188308	109.32	 -51.82	21.51	 6.48	36.73	26.66	-0.43	 0.37	15.406	14.216	      	      	      	      	      	      	      	      	10.786	 0.022	10.129	 0.024	 9.888	 0.018	 9.719	 0.023	 9.585	 0.020	 9.456	 0.038	 8.653	      	0	XV	Sloan
     240	065.2671250	+03.2687678	136.75	  16.13	26.70	13.25	38.24	24.45	-0.17	 0.83	      	      	      	      	      	      	      	      	      	      	 7.655	 0.021	 7.169	 0.046	 7.068	 0.027	 6.971	 0.034	 7.047	 0.021	 7.027	 0.016	 7.110	 0.090	0	XV	Sloan
     242	065.3323417	+12.0438989	110.76	 -10.93	21.63	 4.01	38.28	24.38	 0.45	 0.27	17.012	      	      	      	      	      	      	      	      	      	11.361	 0.021	10.754	 0.023	10.483	 0.019	10.307	 0.023	10.106	 0.020	10.025	 0.073	 8.934	      	0	XV	Sloan
     243	065.3477144	+10.8672447	 93.00	 -11.29	18.27	 9.97	38.34	24.30	-0.88	 0.38	16.277	      	      	      	      	      	      	      	      	      	11.049	 0.023	10.453	 0.032	10.190	 0.024	10.041	 0.024	 9.842	 0.021	 9.787	 0.048	 8.583	      	0	XV	Sloan
     244	065.3818728	+21.0398783	105.52	 -35.54	20.50	 4.54	37.39	25.74	 0.62	 1.42	      	      	      	      	      	      	      	      	      	      	 5.970	 0.020	 5.786	 0.016	 5.762	 0.020	 5.748	 0.053	 5.643	 0.027	 5.769	 0.015	 5.727	 0.037	0	XV	Sloan
     245	065.3844506	+18.4175811	110.27	 -32.27	21.61	 1.91	37.75	25.20	 0.00	 1.38	      	      	      	      	      	      	      	      	      	      	 5.944	 0.021	 5.794	 0.016	 5.746	 0.016	 5.664	 0.054	 5.585	 0.025	 5.757	 0.015	 5.653	 0.043	0	XV	Sloan
     246	065.3949794	+14.4097878	104.45	 -19.66	20.50	 3.40	38.16	24.58	-0.12	 1.47	      	      	      	      	      	      	      	      	      	      	 5.784	 0.023	 5.666	 0.033	 5.595	 0.018	 5.689	 0.054	 5.430	 0.030	 5.624	 0.016	 5.521	 0.040	0	XV	Sloan
     247	065.3962106	+14.6952283	104.22	 -25.48	20.64	 3.03	38.14	24.61	-1.26	 0.29	16.238	14.967	      	      	      	      	      	      	      	      	11.296	 0.021	10.686	 0.022	10.441	 0.017	10.274	 0.022	10.101	 0.019	 9.721	 0.044	 8.377	 0.263	0	XV	Sloan
     249	065.4096422	+20.3028306	130.77	 -47.18	25.78	 8.08	37.51	25.56	-0.37	 0.20	16.975	15.718	      	      	      	      	      	      	      	      	11.510	 0.022	10.901	 0.020	10.629	 0.017	10.437	 0.023	10.239	 0.021	 9.954	 0.052	 8.867	 0.416	0	XV	Sloan
     250	065.4713269	+24.2404700	110.20	 -39.40	20.89	 6.49	36.87	26.47	 2.14	 0.41	15.713	14.495	      	      	      	      	      	      	      	      	10.587	 0.021	10.006	 0.022	 9.739	 0.021	 9.559	 0.023	 9.401	 0.020	 9.372	 0.045	 8.859	      	0	XV	Sloan
     251	065.4828147	+23.4182933	135.33	 -66.00	27.16	10.73	37.03	26.25	-1.26	 0.44	14.032	12.866	      	      	      	      	      	      	      	      	 9.885	 0.024	 9.224	 0.020	 8.982	 0.019	 8.805	 0.023	 8.741	 0.021	 8.635	 0.027	 8.661	 0.414	0	XV	Sloan
     252	065.5146575	+14.0771972	113.20	 -21.93	22.34	 2.89	38.23	24.46	-0.44	 1.69	      	      	      	      	      	      	      	      	      	      	 5.052	 0.023	 5.016	 0.021	 4.960	 0.017	 4.919	 0.069	 4.691	 0.035	 4.995	 0.015	 4.935	 0.031	0	XV	Sloan
     253	065.6043208	+03.6189547	139.46	  31.10	27.84	14.00	38.40	24.20	 2.52	 0.42	14.675	      	      	      	      	      	      	      	      	      	 9.857	 0.026	 9.259	 0.026	 9.002	 0.019	 8.874	 0.024	 8.729	 0.022	 8.559	 0.023	 8.033	 0.184	0	XV	Sloan
     254	065.6070456	+11.3057092	118.68	 -12.30	23.42	 5.66	38.43	24.15	-0.12	 0.94	      	      	      	      	      	      	      	      	      	      	 7.620	 0.024	 7.135	 0.033	 6.948	 0.018	 6.883	 0.035	 6.948	 0.020	 6.906	 0.015	 6.707	 0.078	0	XV	Sloan
     255	065.6251508	+10.4346117	103.49	  -6.94	20.41	 5.98	38.47	24.09	 0.18	 0.60	13.369	14.546	      	      	      	      	      	      	      	      	 9.511	 0.021	 8.847	 0.027	 8.639	 0.022	 8.530	 0.023	 8.529	 0.018	 8.396	 0.024	 7.567	 0.133	0	XV	Sloan
     256	065.6272361	+15.2202386	 94.52	 -19.63	18.65	 7.50	38.19	24.54	 0.00	 0.42	15.165	      	      	      	      	      	      	      	      	      	10.775	 0.022	10.138	 0.020	 9.912	 0.017	 9.750	 0.022	 9.641	 0.020	 9.699	 0.055	 8.325	      	0	XV	Sloan
     257	065.6648364	+18.2693281	137.87	 -39.79	27.21	 9.70	37.88	25.00	 0.09	 0.48	13.649	      	      	      	      	      	      	      	      	      	 9.605	 0.021	 8.971	 0.024	 8.726	 0.018	 8.591	 0.023	 8.538	 0.020	 8.487	 0.027	 8.475	 0.334	0	XV	Sloan
     258	065.6785919	+20.5701428	102.11	 -46.00	20.78	 3.82	37.57	25.46	-2.08	 0.44	15.430	14.208	      	      	      	      	      	      	      	      	10.458	 0.021	 9.834	 0.024	 9.573	 0.017	 9.406	 0.023	 9.254	 0.019	 9.159	 0.038	 8.771	      	0	XV	Sloan
     259	065.6840472	+15.0560892	111.99	 -20.97	22.06	 2.00	38.22	24.48	 0.39	 1.31	      	      	      	      	      	      	      	      	      	      	 5.869	 0.018	 5.640	 0.023	 5.558	 0.018	 5.486	 0.061	 5.373	 0.028	 5.563	 0.017	 5.475	 0.043	0	XV	Sloan
     260	065.6865053	+16.7909428	139.95	 -32.63	27.54	10.07	38.06	24.73	 0.44	 1.06	      	      	      	      	      	      	      	      	      	      	 6.575	 0.020	 6.326	 0.033	 6.203	 0.018	 6.184	 0.048	 6.179	 0.022	 6.217	 0.016	 6.139	 0.052	0	XV	Sloan
     261	065.7337189	+17.5425136	106.58	 -29.17	21.10	 1.65	37.99	24.83	-0.01	 2.60	      	      	      	      	      	      	      	      	      	      	 2.094	 0.248	 1.579	 0.198	 1.643	 0.228	 0.993	      	 1.739	 0.045	 1.607	 0.008	 1.529	 0.012	0	XV	Sloan
     262	065.7496356	+13.3162622	 90.81	 -14.43	17.99	 9.80	38.38	24.23	-0.07	 0.54	14.237	14.437	      	      	      	      	      	      	      	      	10.122	 0.020	 9.467	 0.020	 9.251	 0.017	 9.119	 0.024	 9.066	 0.019	 8.912	 0.029	 8.847	 0.409	0	XV	Sloan
     263	065.7562667	+15.2282208	107.45	 -22.37	21.27	 1.74	38.24	24.46	 0.03	 0.20	17.306	16.018	      	      	      	      	      	      	      	      	12.023	 0.021	11.419	 0.020	11.119	 0.019	10.948	 0.024	10.780	 0.021	10.780	 0.111	 8.834	      	0	XV	Sloan
     264	065.7974033	+21.0589517	102.35	 -37.44	20.26	 4.84	37.55	25.50	 0.12	 0.34	15.948	14.821	      	      	      	      	      	      	      	      	11.048	 0.020	10.453	 0.021	10.162	 0.019	10.010	 0.024	 9.850	 0.020	 9.783	 0.057	 8.668	      	0	XV	Sloan
     265	065.8020147	+15.7128667	110.11	 -26.87	21.93	 1.48	38.21	24.50	-0.48	 0.29	16.367	15.171	      	      	      	      	      	      	      	      	11.241	 0.022	10.632	 0.022	10.356	 0.017	10.208	 0.023	10.034	 0.020	 9.819	 0.046	 8.926	 0.482	0	XV	Sloan
     266	065.8430414	+21.3790972	 99.25	 -38.28	19.74	 5.95	37.51	25.55	-0.11	 1.01	      	      	      	      	      	      	      	      	      	      	 7.531	 0.019	 7.197	 0.017	 7.121	 0.016	 7.048	 0.031	 7.089	 0.020	 7.102	 0.017	 7.132	 0.121	0	XV	Sloan
     267	065.8452103	+19.6586736	 99.40	 -33.75	19.77	 5.02	37.77	25.17	-0.14	 0.99	      	      	      	      	      	      	      	      	      	      	 7.722	 0.024	 7.281	 0.021	 7.151	 0.020	 7.077	 0.031	 7.119	 0.021	 7.084	 0.017	 7.154	 0.105	0	XV	Sloan
     268	065.8492458	+14.4279525	104.59	 -20.83	20.81	 2.74	38.34	24.29	-0.26	 0.43	15.576	14.347	      	      	      	      	      	      	      	      	10.472	 0.022	 9.894	 0.022	 9.630	 0.018	 9.417	 0.021	 9.265	 0.019	 9.368	 0.070	 8.852	      	0	XV	Sloan
     269	065.8544253	+16.7772583	104.58	 -28.27	20.85	 1.90	38.13	24.63	-0.38	 1.77	      	      	      	      	      	      	      	      	      	      	 5.040	 0.020	 5.009	 0.023	 4.945	 0.021	 4.908	 0.073	 4.575	 0.035	 4.981	 0.016	 4.947	 0.033	0	XV	Sloan
